Date,Store,Predicted_quantity,Lower_95,Upper_95
2023-07-01,Lower Manhattan,786.6908854349422,587.6595592983682,985.7222115715161
2023-07-02,Lower Manhattan,811.8628754579124,612.8315493213385,1010.8942015944864
2023-07-03,Lower Manhattan,793.3071761447186,594.2758500081446,992.3385022812926
2023-07-04,Lower Manhattan,804.7645140350513,605.7331878984774,1003.7958401716253
2023-07-05,Lower Manhattan,798.8661176916615,599.8347915550876,997.8974438282355
2023-07-06,Lower Manhattan,799.7797509067746,600.7484247702006,998.8110770433485
2023-07-07,Lower Manhattan,805.5520300168258,606.5207038802519,1004.5833561533998
2023-07-08,Lower Manhattan,848.9642234873261,649.9328973507521,1047.9955496239
2023-07-09,Lower Manhattan,820.7092229369271,621.6778968003531,1019.740549073501
2023-07-10,Lower Manhattan,845.7691375642614,646.7378114276875,1044.8004637008353
2023-07-11,Lower Manhattan,859.9664477574948,660.9351216209209,1058.9977738940688
2023-07-12,Lower Manhattan,872.5976709209049,673.5663447843309,1071.6289970574787
2023-07-13,Lower Manhattan,872.5976709209049,673.5663447843309,1071.6289970574787
2023-07-14,Lower Manhattan,863.863510679445,664.832184542871,1062.8948368160188
2023-07-15,Lower Manhattan,910.6285793232026,711.5972531866287,1109.6599054597766
2023-07-16,Lower Manhattan,901.1724354289677,702.1411092923937,1100.2037615655415
2023-07-17,Lower Manhattan,932.0366719992712,733.0053458626973,1131.067998135845
2023-07-18,Lower Manhattan,942.3249041255017,743.2935779889277,1141.3562302620755
2023-07-19,Lower Manhattan,965.4537105672208,766.4223844306468,1164.4850367037948
2023-07-20,Lower Manhattan,967.6153255297065,768.5839993931326,1166.6466516662804
2023-07-21,Lower Manhattan,968.2041273573955,769.1728012208215,1167.2354534939693
2023-07-22,Lower Manhattan,1004.488452755991,805.4571266194171,1203.519778892565
2023-07-23,Lower Manhattan,995.0099704226471,795.9786442860732,1194.041296559221
2023-07-24,Lower Manhattan,1031.7669496923947,832.7356235558208,1230.7982758289686
2023-07-25,Lower Manhattan,1063.2988310153214,864.2675048787474,1262.3301571518953
2023-07-26,Lower Manhattan,1071.0488142843315,872.0174881477575,1270.0801404209053
2023-07-27,Lower Manhattan,1177.2134870357922,978.1821608992183,1376.244813172366
2023-07-28,Lower Manhattan,1031.7076175434872,832.6762914069133,1230.738943680061
2023-07-29,Lower Manhattan,1034.4833353096478,835.4520091730739,1233.5146614462217
2023-07-30,Lower Manhattan,1089.047367176908,890.016041040334,1288.0786933134818
2023-07-01,Hell's Kitchen,786.6908854349422,587.6595592983682,985.7222115715161
2023-07-02,Hell's Kitchen,793.3493430471401,594.3180169105661,992.3806691837141
2023-07-03,Hell's Kitchen,757.6217411974087,558.5904150608347,956.6530673339827
2023-07-04,Hell's Kitchen,787.9494189443692,588.9180928077952,986.9807450809432
2023-07-05,Hell's Kitchen,798.8661176916615,599.8347915550876,997.8974438282355
2023-07-06,Hell's Kitchen,799.7797509067746,600.7484247702006,998.8110770433485
2023-07-07,Hell's Kitchen,811.0982925899012,612.0669664533273,1010.1296187264752
2023-07-08,Hell's Kitchen,828.6842358651319,629.6529097285579,1027.7155620017058
2023-07-09,Hell's Kitchen,840.0782017154041,641.0468755788302,1039.109527851978
2023-07-10,Hell's Kitchen,830.8361923908504,631.8048662542765,1029.8675185274244
2023-07-11,Hell's Kitchen,876.6984625047095,677.6671363681355,1075.7297886412834
2023-07-12,Hell's Kitchen,872.5976709209049,673.5663447843309,1071.6289970574787
2023-07-13,Hell's Kitchen,869.9959295922997,670.9646034557258,1069.0272557288736
2023-07-14,Hell's Kitchen,863.863510679445,664.832184542871,1062.8948368160188
2023-07-15,Hell's Kitchen,910.6285793232026,711.5972531866287,1109.6599054597766
2023-07-16,Hell's Kitchen,911.5297748343799,712.4984486978059,1110.5611009709537
2023-07-17,Hell's Kitchen,932.0366719992712,733.0053458626973,1131.067998135845
2023-07-18,Hell's Kitchen,942.3249041255017,743.2935779889277,1141.3562302620755
2023-07-19,Hell's Kitchen,965.4537105672208,766.4223844306468,1164.4850367037948
2023-07-20,Hell's Kitchen,971.6514206436203,772.6200945070464,1170.6827467801943
2023-07-21,Hell's Kitchen,968.2041273573955,769.1728012208215,1167.2354534939693
2023-07-22,Hell's Kitchen,1004.488452755991,805.4571266194171,1203.519778892565
2023-07-23,Hell's Kitchen,995.0099704226471,795.9786442860732,1194.041296559221
2023-07-24,Hell's Kitchen,1031.7669496923947,832.7356235558208,1230.7982758289686
2023-07-25,Hell's Kitchen,1063.2988310153214,864.2675048787474,1262.3301571518953
2023-07-26,Hell's Kitchen,1071.0488142843315,872.0174881477575,1270.0801404209053
2023-07-27,Hell's Kitchen,1184.035037134904,985.0037109983301,1383.066363271478
2023-07-28,Hell's Kitchen,1031.7076175434872,832.6762914069133,1230.738943680061
2023-07-29,Hell's Kitchen,1034.4833353096478,835.4520091730739,1233.5146614462217
2023-07-30,Hell's Kitchen,1089.047367176908,890.016041040334,1288.0786933134818
2023-07-01,Astoria,803.648070099271,604.616743962697,1002.6793962358449
2023-07-02,Astoria,793.3493430471401,594.3180169105661,992.3806691837141
2023-07-03,Astoria,774.7936437339463,575.7623175973723,973.8249698705202
2023-07-04,Astoria,787.9494189443692,588.9180928077952,986.9807450809432
